SystemCash,CompanyCash,PlayersCash,Nu.Players,Nu.Cards,Operation,InvolvedP1,InvolvedP2,Avg.PlayersCash,Avg.PlayersCards
10114.0,10105,9.0,104,100,played round,"4839219585753 ($4, #Cards:0)","6452292781004 ($4, #Cards:1)",0.09,0.9615384615384616
10114.0,10105,9.0,104,100,played round,"4839219585753 ($4, #Cards:0)","11291512366757 ($4, #Cards:0)",0.09,0.9615384615384616
10115.0,10106,9.0,104,100,cash added to account,"11291512367289 ($4, #Cards:1)",,0.09,0.9615384615384616
10115.0,10106,9.0,104,100,played round,"8065365976255 ($4, #Cards:3)","11291512367289 ($4, #Cards:0)",0.09,0.9615384615384616
10115.0,10106,9.0,104,99,sell card ($0) & buy card,"1613073195251 ($4, #Cards:0)",,0.09090909090909091,0.9519230769230769
10116.0,10107,9.0,104,99,cash added to account,"3226146390502 ($4, #Cards:1)",,0.09090909090909091,0.9519230769230769
10116.0,10107,9.0,104,99,played round,"16130731952510 ($4, #Cards:1)","11291512366757 ($4, #Cards:3)",0.09090909090909091,0.9519230769230769
10116.0,10107,9.0,104,99,played round,"12904585562616 ($4, #Cards:0)","3226146390502 ($4, #Cards:0)",0.09090909090909091,0.9519230769230769
10116.0,10107,9.0,104,99,played round,"14517658757259 ($4, #Cards:0)","11291512366757 ($4, #Cards:0)",0.09090909090909091,0.9519230769230769
10116.0,10107,9.0,104,99,buy card,"8065365976255 ($4, #Cards:0)",,0.09090909090909091,0.9519230769230769
10116.0,10107,9.0,104,99,played round,"6452292781004 ($4, #Cards:0)","8065365976255 ($4, #Cards:3)",0.09090909090909091,0.9519230769230769
10116.0,10107,9.0,104,99,played round,"16130731952510 ($4, #Cards:0)","6452292781004 ($4, #Cards:0)",0.09090909090909091,0.9519230769230769
10117.0,10108,9.0,104,99,cash added to account,"6452292781308 ($4, #Cards:1)",,0.09090909090909091,0.9519230769230769
10117.0,10108,9.0,104,99,split card,"8065365976255 ($4, #Cards:0)",,0.09090909090909091,0.9519230769230769
10119.0,10110,9.0,104,99,cash added to account,"16130731952510 ($11, #Cards:1)",,0.09090909090909091,0.9519230769230769
10119.0,10110,9.0,104,99,played round,"4839219585753 ($4, #Cards:0)","3226146390502 ($4, #Cards:0)",0.09090909090909091,0.9519230769230769
10119.0,10110,9.0,104,99,played round,"11291512366757 ($4, #Cards:1)","8065365976255 ($4, #Cards:2)",0.09090909090909091,0.9519230769230769
10119.0,10110,9.0,104,99,buy card,"3226146390502 ($4, #Cards:0)",,0.09090909090909091,0.9519230769230769
10119.0,10110,9.0,104,99,played round,"8065365976255 ($4, #Cards:2)","1613073195251 ($4, #Cards:1)",0.09090909090909091,0.9519230769230769
10119.0,10110,9.0,104,98,sell card ($0) & buy card,"4839219585753 ($4, #Cards:1)",,0.09183673469387756,0.9423076923076923
10119.0,10110,9.0,105,99,added new player,"8065365976255 ($4, #Cards:3)",,0.09090909090909091,0.9428571428571428
10119.0,10110,9.0,105,99,played round,"3226146390502 ($4, #Cards:0)","11291512367401 ($0, #Cards:1)",0.09090909090909091,0.9428571428571428
10119.0,10110,9.0,105,98,sell card ($0) & buy card,"11291512366757 ($4, #Cards:0)",,0.09183673469387756,0.9333333333333333
10120.0,10111,9.0,105,98,cash added to account,"3226146390502 ($4, #Cards:1)",,0.09183673469387756,0.9333333333333333
10120.0,10111,9.0,105,98,played round,"3226146390502 ($4, #Cards:0)","3226146390502 ($4, #Cards:1)",0.09183673469387756,0.9333333333333333
10120.0,10111,9.0,105,98,played round,"11291512366757 ($4, #Cards:1)","4839219585753 ($4, #Cards:0)",0.09183673469387756,0.9333333333333333
10121.0,10112,9.0,105,98,cash added to account,"16130731952510 ($9, #Cards:3)",,0.09183673469387756,0.9333333333333333
10125.0,10116,9.0,105,98,cash added to account,"3226146390502 ($25, #Cards:1)",,0.09183673469387756,0.9333333333333333
10125.0,10116,9.0,105,98,played round,"8065365976255 ($4, #Cards:0)","12904585562008 ($4, #Cards:1)",0.09183673469387756,0.9333333333333333
10125.0,10116,9.0,105,98,played round,"11291512366757 ($4, #Cards:0)","16130731952510 ($4, #Cards:1)",0.09183673469387756,0.9333333333333333
10128.0,10119,9.0,105,98,cash added to account,"8065365976255 ($17, #Cards:2)",,0.09183673469387756,0.9333333333333333
